,Date,states,Lst_price,sret,mkt_cret,Ticker
0,2016-01-06,1,1.463,-0.00307115068212714,-0.00307115068212714,GBPUSD
1,2016-01-07,1,1.4618,-0.0008205689738330401,-0.00389171965596018,GBPUSD
2,2016-01-08,1,1.4517,-0.006933269578908796,-0.010824989234868975,GBPUSD
3,2016-01-11,1,1.4543,0.0017894017162817777,-0.009035587518587197,GBPUSD
4,2016-01-12,1,1.4448,-0.006553781520943444,-0.015589369039530641,GBPUSD
5,2016-01-13,1,1.4407,-0.0028417970952937044,-0.018431166134824345,GBPUSD
6,2016-01-14,1,1.4413,0.0004163775216297405,-0.018014788613194603,GBPUSD
7,2016-01-15,1,1.4258,-0.010812424405529049,-0.028827213018723652,GBPUSD
8,2016-01-19,1,1.4158,-0.0070383173434392056,-0.035865530362162855,GBPUSD
9,2016-01-20,1,1.4192,0.0023985902152262764,-0.03346694014693658,GBPUSD
10,2016-01-21,1,1.4221,0.0020413198233355037,-0.03142562032360108,GBPUSD
11,2016-01-22,1,1.4265,0.0030892392749041066,-0.02833638104869697,GBPUSD
12,2016-01-25,1,1.4249,-0.0011222558518115932,-0.029458636900508563,GBPUSD
13,2016-01-26,1,1.435,0.007063213391978354,-0.02239542350853021,GBPUSD
14,2016-01-27,1,1.4234,-0.008116473328550741,-0.03051189683708095,GBPUSD
15,2016-01-28,1,1.4362,0.008952360811046414,-0.021559536026034536,GBPUSD
16,2016-01-29,1,1.4244,-0.008250064272594344,-0.02980960029862888,GBPUSD
17,2016-02-01,1,1.4433,0.01318148596989508,-0.0166281143287338,GBPUSD
18,2016-02-02,1,1.441,-0.0015948413739956223,-0.018222955702729422,GBPUSD
19,2016-02-03,1,1.4603,0.01330457704690352,-0.0049183786558259016,GBPUSD
20,2016-02-04,1,1.4589,-0.0009591669685758452,-0.005877545624401747,GBPUSD
21,2016-02-05,1,1.4503,-0.005912295511645539,-0.011789841136047287,GBPUSD
22,2016-02-08,1,1.4433,-0.0048382731926865956,-0.016628114328733883,GBPUSD
23,2016-02-09,1,1.4472,0.002698496707567711,-0.013929617621166172,GBPUSD
24,2016-02-10,1,1.4522,0.0034489928650610086,-0.010480624756105164,GBPUSD
25,2016-02-11,1,1.4477,-0.0031035577861484253,-0.01358418254225359,GBPUSD
26,2016-02-12,1,1.4503,0.001794341406206513,-0.011789841136047077,GBPUSD
27,2016-02-16,1,1.4306,-0.01367649489192077,-0.02546633602796785,GBPUSD
28,2016-02-17,1,1.4294,-0.0008391608884050476,-0.026305496916372895,GBPUSD
29,2016-02-18,1,1.4337,0.003003739466343691,-0.023301757450029204,GBPUSD
30,2016-02-19,1,1.4406,0.004801178203040511,-0.018500579246988693,GBPUSD
31,2016-02-22,1,1.415,-0.017930162377924583,-0.036430741624913276,GBPUSD
32,2016-02-23,1,1.4022,-0.0090870993044708,-0.045517840929384074,GBPUSD
33,2016-02-24,1,1.3927,-0.006798122713820873,-0.05231596364320495,GBPUSD
34,2016-02-25,1,1.3962,0.0025099514772549065,-0.04980601216595004,GBPUSD
35,2016-02-26,1,1.3871,-0.006539023767056763,-0.056345035933006805,GBPUSD
36,2016-02-29,1,1.3917,0.0033107846565631313,-0.05303425127644367,GBPUSD
37,2016-03-01,1,1.3952,0.0025117527289075085,-0.05052249854753616,GBPUSD
38,2016-03-02,1,1.4078,0.008990428019316078,-0.04153207052822008,GBPUSD
39,2016-03-03,1,1.4178,0.007078172246885994,-0.03445389828133409,GBPUSD
40,2016-03-04,1,1.4229,0.00359066813072854,-0.03086323015060555,GBPUSD
41,2016-03-07,1,1.4265,0.0025268491019091125,-0.028336381048696437,GBPUSD
42,2016-03-08,1,1.4215,-0.0035112395625003408,-0.03184762061119678,GBPUSD
43,2016-03-09,1,1.4217,0.00014068655059778614,-0.031706934060599,GBPUSD
44,2016-03-10,1,1.4281,0.004491550817235041,-0.027215383243363957,GBPUSD
45,2016-03-11,1,1.4382,0.0070474422095063004,-0.020167941033857655,GBPUSD
46,2016-03-14,1,1.4302,-0.005578037054098101,-0.025745978087955756,GBPUSD
47,2016-03-15,1,1.4151,-0.010614094655969826,-0.03636007274392558,GBPUSD
48,2016-03-16,1,1.4259,0.007602993329747729,-0.028757079414177853,GBPUSD
49,2016-03-17,1,1.4482,0.01551821266664692,-0.013238866747530933,GBPUSD
50,2016-03-18,1,1.4476,-0.0004143932651329748,-0.013653260012663909,GBPUSD
51,2016-03-21,1,1.4369,-0.007418997454426364,-0.021072257467090273,GBPUSD
52,2016-03-22,1,1.4208,-0.011267921997255353,-0.03234017946434563,GBPUSD
53,2016-03-23,1,1.4117,-0.006425441347751733,-0.03876562081209736,GBPUSD
54,2016-03-24,1,1.4153,0.002546870849639268,-0.036218749962458094,GBPUSD
55,2016-03-29,1,1.4384,0.016189861977562548,-0.020028887984895546,GBPUSD
56,2016-03-30,1,1.4378,-0.00041721716758464267,-0.020446105152480187,GBPUSD
57,2016-03-31,1,1.436,-0.0012526969416016376,-0.021698802094081825,GBPUSD
58,2016-04-01,1,1.4227,-0.009304995951048061,-0.031003798045129885,GBPUSD
59,2016-04-04,1,1.4264,0.0025973128918091912,-0.028406485153320695,GBPUSD
60,2016-04-05,1,1.4161,-0.00724717331991758,-0.03565365847323827,GBPUSD
61,2016-04-06,1,1.4123,-0.002687033153994844,-0.038340691627233116,GBPUSD
62,2016-04-07,1,1.4056,-0.004755323202130794,-0.04309601482936391,GBPUSD
63,2016-04-08,1,1.4128,0.005109292976808222,-0.037986721852555694,GBPUSD
64,2016-04-11,1,1.4239,0.007826034937253349,-0.030160686915302347,GBPUSD
